canonical term,alternatives
yes,"yes, yep, ya"
no,"no, nope, not really"
hello,"hello, hi"
thanks,"thanks, thank you, thankful, kind of you"
windows,"windows, O.S, operating, "
login,"log, login, log in, access, pass word, password"
status,"status, my ticket"
jabber,"java, jeba, jabber, jaipur, tablet, jab, job, jobber"
software,"software, visual, studio, install, installation"
reimage,"reimage, corrupted, crashed, hard disk, image"
escalate,"escalate, escalation, "
agent,"human, agent, supervisor"
issue,"issue, a ticket, help"
lisa,"Lisa, Liza, assistant"
